Respondent ID,Collector ID,Start Date,Timestamp,1. Postcode,2. Age range,3. Gender,4. Language,5. Belonging,6. Cultural activities,7. Te Reo,8. Cultural knowledge,9. Trust NZ government,10. Trust local council,11. Trust NZ Police,12. Safety,13. Discrimination,14. Loneliness,15. Independence,16. Support in crisis,17. Level of control,18. Volunteering time,19. Paid working hours,20. Job Satisfaction,21. Work life Balance,22. Leisure time,23. Be Yourself in NZ,24. Be Yourself in Newlands,25. Life Satisfaction,26. Meaning and Purpose,27. Family Wellbeing,28. Access to Natural Environment,29. Work Travel Time,30. Basic Life Skills,31. Newlands Resident,32. Home Disaster Ready,33. Neigbourhood Support Group,34. Out of Newlands During Day,35. Place out of Newland Disaster Ready,36. Vote General election 2020,37. Vote Local elections 2019,38. Satisfaction income,39. Confident in finding a new job,40. Personal mental health,41. Confident water safety,42. Optimal use of land,43. Location,44. Voted General elections 2023,45. Voted Local Elections 2022
,,,06/23/2020 01:19:04 PM,6037,25-34,Male,100,100,47,3,0,46,50,51,52,0,100,90,100,91,100,45,100,100,38,72,100,89,100,94,87,3,87,Yes,No,No,No,No,,,,,,,,,,
,,,06/23/2020 11:54:56 AM,6037,55-64,Female,90,100,53,9,64,6,9,52,87,39,72,26,89,80,29,18,44,22,,50,53,33,,72,64,,51,Yes,,,,,,,,,,,,,,
,,,06/23/2020 10:51:13 AM,6037,25-34,Male,100,75,100,6,80,70,75,80,100,2,91,95,60,90,51,40,70,80,30,51,50,80,85,90,51,16,90,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,,06/22/2020 09:52:36 PM,6037,45-54,Female,100,100,0,0,47,54,38,50,100,55,54,100,100,100,100,40,32,41,18,100,100,70,100,80,100,16,100,Yes,Yes,No,No,No,,,,,,,,,,
,,,06/22/2020 09:37:30 PM,6037,25-34,Male,100,100,49,0,0,50,49,75,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,06/22/2020 05:23:25 PM,6037,35-44,Female,96,93,,,53,51,,63,92,56,52,91,56,95,50,40,75,55,49,87,55,86,74,40,97,41,52,Yes,No,No,Yes,Yes,,,,,,,,,,
,,,06/22/2020 04:27:40 PM,6037,45-54,Female,82,100,63,91,69,71,62,68,94,,96,90,99,87,72,44,73,58,28,100,100,91,100,92,88,15,90,Yes,No,No,No,,,,,,,,,,,
,,,06/22/2020 10:42:18 AM,6037,65-74,Male,95,97,51,0,30,53,64,96,98,0,96,99,96,89,99,22,96,97,70,96,99,99,96,83,99,15,81,Yes,Yes,Yes,No,,,,,,,,,,,
,,,06/22/2020 10:11:46 AM,6037,45-54,Female,100,100,0,0,51,80,80,90,50,0,2,70,75,60,100,20,40,46,15,75,75,70,70,80,90,50,76,Yes,Yes,No,No,Yes,,,,,,,,,,
,,,06/22/2020 10:02:05 AM,6037,35-44,Female,100,100,0,9,61,88,70,80,71,0,7,91,100,96,8,33,89,58,42,100,100,91,65,85,85,20,100,Yes,No,No,Yes,Yes,,,,,,,,,,
,,,06/22/2020 05:03:39 AM,6037,75-84,Female,74,77,7,2,53,48,65,81,48,12,50,61,42,65,48,4,,50,83,,,,,,,,,,,,,,,,,,,,,,,
,,,06/21/2020 07:52:18 PM,6037,55-64,Female,100,100,63,30,90,30,20,70,30,60,90,90,90,60,90,60,100,40,20,75,75,90,90,90,100,15,90,Yes,No,No,Yes,Yes,,,,,,,,,,
,,,06/21/2020 01:48:12 PM,6037,75-84,Female,99,99,66,32,50,,17,72,,22,1,76,76,80,98,,,,51,97,92,44,32,68,80,,86,Yes,Yes,No,No,Yes,,,,,,,,,,
,,,06/20/2020 08:10:20 PM,6037,35-44,Female,52,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,06/20/2020 07:57:28 AM,6037,15-18,Female,99,60,8,10,84,80,65,95,90,0,50,65,60,62,25,0,,,60,50,50,80,45,90,90,,75,Yes,Yes,No,No,,,,,,,,,,,
,,,06/20/2020 03:55:43 AM,6037,45-54,Female,98,85,0,1,0,50,50,50,50,1,80,100,80,75,1,8,75,100,15,50,50,50,35,65,100,,75,Yes,No,No,No,No,,,,,,,,,,
,,,06/19/2020 09:53:55 PM,6037,45-54,Female,96,100,100,49,100,50,51,49,44,4,100,100,100,100,100,44,100,100,41,100,100,66,100,100,100,26,100,Yes,Yes,No,No,Yes,,,,,,,,,,
,,,06/19/2020 08:57:25 PM,6037,45-54,Female,100,100,87,0,1,88,48,100,53,54,70,92,80,88,77,30,81,28,5,94,100,95,93,91,98,8,93,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,,06/19/2020 08:46:32 PM,6037,25-34,Female,100,100,73,0,70,50,50,50,50,2,49,50,100,82,11,0,83,70,63,100,100,100,100,100,100,40,36,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
